Var1,Var2,Var3,Var4,Var5
487,2,3,NaN,1.9
487,2,4,NaN,23.3
487,2,5,NaN,39.1
487,2,6,NaN,26.9
487,2,7,NaN,88.2
487,2,8,NaN,56.7
487,2,9,NaN,48.8
487,2,10,NaN,36.8
487,2,11,NaN,94.5
487,2,12,NaN,94.7
487,2,13,NaN,65.2
487,2,14,NaN,55.5
487,2,15,NaN,64.9
487,2,16,NaN,7.8
487,2,17,NaN,18.8
487,2,18,NaN,5.6
487,2,19,NaN,81.7
487,2,20,NaN,77.4
487,2,21,NaN,51.5
487,2,22,NaN,72.4
487,2,23,NaN,91.8
487,2,24,NaN,51
487,2,25,NaN,83.5
487,2,26,NaN,0
487,2,27,NaN,NaN
487,2,28,NaN,91.3
487,2,29,NaN,73.8
487,2,30,NaN,11.6
487,2,31,NaN,24.7
487,2,32,NaN,75.6
487,2,33,NaN,16.9
487,2,34,NaN,29.7
487,3,1,NaN,NaN
487,3,2,NaN,NaN
487,3,3,NaN,NaN
487,3,4,0.082026437433725,60.2
487,3,5,0.735435514041575,84.6
487,3,6,2.19844339863479,94.6
487,3,7,-0.363612533359885,28.3
487,3,8,0.100862559773795,54.1
487,3,9,1.48288235866243,94.7
487,3,10,-0.0811309392607869,45.4
487,3,11,-0.11469496178417,39.4
487,3,12,1.61535220893811,94.6
487,3,13,1.09332101313748,91.7
487,3,14,0.597299929289043,87.3
487,3,15,NaN,NaN
487,3,16,-0.427397514949168,23.9
487,3,17,-0.59050108537184,16.4
487,3,18,-0.00853494885758221,46
487,3,19,0.465493065006358,77.9
487,3,20,0.454201559066334,79.5
487,3,21,-0.242974384740154,30.5
487,3,22,-0.208832693126132,35.4
487,3,23,NaN,NaN
487,3,24,3.72816426134811,99.3
487,3,25,-0.66510779600792,16.2
487,3,26,0.0387709834310038,64.5
487,3,27,0.0393952708538329,46.7
487,3,28,0.868036446638697,88.5
487,3,29,0.00873100444523945,45.3
487,3,30,-1.72560770654648,1
487,3,31,0.287668389178572,70.3
487,3,32,0.253286793423318,71.4
487,3,33,-0.512601089666376,21.5
487,3,34,0.597172156303331,84.5
487,3,35,-0.131865378635527,44.3
487,3,36,3.95018586545252,97.2
532,1,1,1.92413121243713,93.6
532,1,2,-0.133308719519958,53.6
532,1,3,-0.446685198088273,15.2
532,1,4,NaN,NaN
532,1,5,2.045238568722,92
532,1,6,-1.16229130909051,0.5
532,1,7,-0.244706023826956,62.5
532,1,8,2.74327962057939,94
532,1,9,-0.385033598928583,46.9
532,1,10,-1.18379081757911,0.5
532,1,11,NaN,NaN
532,1,12,-0.541736069018495,26.7
532,1,13,0.678067532652875,88.1
532,1,14,NaN,NaN
532,1,15,-0.305038565629764,61
532,1,16,4.78287029001025,99.5
532,1,17,2.89584083274453,95.3
532,1,18,-0.211765386187395,66.5
532,1,19,-0.038606503322304,75.6
532,1,20,-0.087363920746622,78.8
532,2,1,4.14389618564913,98.4
532,2,2,-0.364195074907135,21.6
532,2,3,-0.373351335185277,24
532,2,4,NaN,NaN
532,2,5,-0.385790782630752,23.6
532,2,6,2.94648196939316,97.9
532,2,7,NaN,NaN
532,2,8,NaN,NaN
532,2,9,-0.41297673011472,45.1
532,2,10,4.26480563245446,99.6
532,2,11,-0.528132702539504,12
532,2,12,NaN,NaN
532,2,13,3.88518656059569,98.2
532,2,14,-0.19345725073419,69.4
532,2,15,-0.287161810225259,40.5
532,2,16,NaN,NaN
532,2,17,NaN,NaN
532,2,18,2.27310771680262,94.4
532,2,19,1.68022788045746,88.8
532,2,20,6.41317479113879,100
532,2,21,NaN,NaN
532,2,22,6.11214670509834,99.4
532,2,23,-0.734634207024521,7.5
532,2,24,-1.02272806677287,0.2
532,2,25,NaN,NaN
532,2,26,-0.17948571709342,47.3
532,3,1,-1.29897910574799,0
532,3,2,2.65655767072099,97.5
532,3,3,2.59983204027766,94.7
532,3,4,NaN,NaN
532,3,5,1.79619017282404,95.2
532,3,6,2.98028588204155,98.3
532,3,7,-0.352502710823783,55.3
532,3,8,NaN,NaN
532,3,9,2.80810855404309,96.9
532,3,10,-0.0169858806775221,68.4
532,3,11,1.54349089334405,94.6
532,3,12,0.236914781953903,82.9
532,3,13,-0.378169894125786,45.8
