Animal,Epoch,Cell,Dev_Ptnr_post,Pval_Ptnr_post
487,3,4,-0.179886296,47.8
487,3,5,0.998725178,92.7
487,3,6,3.452991511,98.4
487,3,7,NaN,NaN
487,3,8,-0.020033081,73.4
487,3,9,0.840995651,89.2
487,3,10,-0.220305868,41
487,3,11,-0.192124103,47.2
487,3,12,1.412346773,92.6
487,3,13,-0.44428092,25.7
487,3,14,-0.145461803,59.1
487,3,15,NaN,NaN
487,3,16,NaN,NaN
487,3,17,-0.134643049,59.9
487,3,18,-0.303544802,37
487,3,19,-0.292190616,40.6
487,3,20,-0.580239662,24.1
487,3,21,0.105240609,60.5
487,3,22,-1.335323412,3.2
487,3,23,-0.151728764,58.6
487,3,24,0.472567879,88.3
487,3,25,-0.120906941,53.2
487,3,26,NaN,NaN
487,3,27,0.350105186,72.6
487,3,28,-0.428863942,16.4
487,3,29,-0.253952549,40.5
487,3,30,-0.288083528,29.6
487,3,31,-0.291156505,22.7
487,3,32,0.724683155,88.2
487,3,33,1.018549682,93.4
487,3,34,0.513144907,84.9
487,3,35,5.209333387,99.5
487,3,36,-0.312887291,20.9
532,1,1,0.444715594,88.8
532,1,2,-0.096376881,50.8
532,1,3,4.755871437,98.9
532,1,4,NaN,NaN
532,1,5,NaN,NaN
532,1,6,1.754361414,97.2
532,1,7,0.382840558,76.9
532,1,8,6.318562291,99.8
532,1,9,-1.350743246,3.7
532,1,10,0.182618388,64
532,1,11,0.674112208,89.9
532,1,12,-0.479656623,17.4
532,1,13,4.497729228,99.8
532,1,14,-0.34884512,31.3
532,1,15,2.240001281,94.4
532,1,16,-0.132901453,48.8
532,1,17,NaN,NaN
532,1,18,0.566877282,86.1
532,1,19,NaN,NaN
532,1,20,1.167566824,88.1
532,2,1,45.62730678,100
532,2,2,4.602591558,98.8
532,2,3,0.732816519,87.3
532,2,4,-0.794807996,13
532,2,5,-1.896348979,2.3
532,2,6,-2.091447411,3.6
532,2,7,4.95290798,99
532,2,8,2.047956483,97.6
532,2,9,-0.344927847,19
532,2,10,0.016881409,38.2
532,2,11,0.171820092,55.3
532,2,12,-5.209519099,0.1
532,2,13,-4.714595152,0.2
532,2,14,-1.498677469,6.4
532,2,15,1.496917035,95.7
532,2,16,-1.882272709,4.1
532,2,17,-1.977943468,3.5
532,2,18,2.409502404,97.9
532,2,19,0.932309009,90.6
532,2,20,1.127894316,94
532,2,21,-1.818628936,4.7
532,2,22,0.062522774,48
532,2,23,2.18838948,97.8
532,2,24,0.793207088,87
532,2,25,1.17875705,95
532,2,26,-7.2179616,0.1
532,3,1,-1.122692581,8.3
532,3,2,1.400895689,97
532,3,3,-0.267991614,39.8
532,3,4,4.341343639,98.3
532,3,5,1.823884898,97.2
532,3,6,-0.163496556,29.3
532,3,7,-0.517577509,18.1
532,3,8,-0.451128784,17.1
532,3,9,-0.434746079,24.9
532,3,10,0.481626332,82.4
532,3,11,-0.415446979,17.8
532,3,12,5.45472095,99.2
532,3,13,-0.379043425,25.8
532,3,14,3.811037676,99.6
532,3,15,0.138365165,70.6
532,3,16,-0.334807215,24.9
532,3,17,-1.252476652,2.5
532,3,18,-0.199110364,31
532,3,19,19.38139247,100
532,3,20,-0.159621412,34.8
532,3,21,-1.688189376,4.1
532,3,22,34.30402838,100
532,3,23,-1.196670708,6.7
532,3,24,2.6364639,99
532,3,25,0.981946517,88.8
532,3,26,4.027416862,99.6
532,3,27,1.480865527,97.4
532,3,28,-1.306324422,3.5
532,3,29,1.377948262,93.4
532,3,30,1.063372461,90.7
532,3,31,3.957083864,99.5
532,3,32,0.18202103,75
532,3,33,0.192482312,67.1
532,3,34,-2.317589466,2.7
532,3,35,-2.258431567,2.1
532,3,36,5.035572317,99.7
532,3,37,-0.400005166,19.3
532,3,38,-2.257049558,2.6
532,3,39,3.151072658,98.2
532,3,40,1.085430588,88.7
532,3,41,-0.133023616,43.8
532,3,42,-0.846826874,10.1
532,3,43,0.750139452,90.2
532,3,44,0.366137917,79
532,3,45,-0.034683375,51.7
532,3,46,62.02584218,100
532,3,47,84.73411578,100
532,3,48,-1.871967867,3.6
532,3,49,-0.169373698,34
532,3,50,-1.372836279,5.3
532,3,51,-1.644956156,4
